#{"t_start": 1700864018.8270311, "env_id": "QuadrotorPlusHoverEnv-v0"}
r,l,t
3.164173,16,0.534238
-30.938013,13,0.565793
-43.358184,15,0.598606
-28.740306,17,0.637922
-42.489601,15,0.691445
-41.425061,17,0.725831
-10.813718,16,0.759178
-13.167374,13,0.816598
-30.271992,13,0.840199
3.527109,16,0.890772
-37.170629,15,0.933632
-5.536481,14,0.962286
-6.594404,17,0.997623
-23.661945,18,1.046436
-42.010213,16,1.097458
-3.546352,14,1.125911
-19.844449,13,1.153723
-19.102588,20,1.208088
-38.251145,11,1.227164
-20.815883,16,1.269947
-33.807422,12,1.29605
-42.976654,11,1.320338
-21.202863,16,1.350046
-23.518913,13,1.383063
-36.320895,13,1.42686
-38.877968,11,1.446874
-33.897298,18,1.483434
-36.551615,14,1.508603
-21.065034,17,1.550208
-37.099822,19,1.609332
-28.579522,10,1.63237
-30.033587,14,1.66243
-5.070673,16,1.693433
-32.940853,17,1.752735
-6.063514,18,1.792887
-16.579253,16,1.823216
-43.464831,16,1.85278
-41.49307,14,1.891202
-34.170263,18,1.940441
-5.69258,16,1.977356
-23.971312,11,1.999311
-34.90035,12,2.02107
-23.406157,14,2.056318
-34.707603,14,2.099892
-29.516696,17,2.137009
-26.144146,16,2.168021
-33.307669,12,2.192895
2.698867,16,2.221732
-34.39929,13,2.257672
-12.750886,15,2.308331
-38.297438,16,2.339789
-47.450427,11,2.36656
-8.807927,19,2.429562
-43.751233,12,2.451422
-23.795226,15,2.483178
-30.155409,13,2.5076
-17.272364,19,2.571041
-37.682952,8,2.58521
-6.245359,16,2.618133
-30.598233,13,2.642925
-23.88535,10,2.662599
-26.644086,12,2.683982
-33.855941,14,2.71207
-16.821999,15,2.771028
-43.541726,16,2.80232
-15.714487,14,2.827986
-21.247185,14,2.853525
-29.477001,16,2.886108
-22.822631,17,2.944116
-40.817218,10,2.968236
-24.885654,14,2.994797
-27.526821,9,3.011391
-9.932465,16,3.063223
-23.095174,19,3.109518
-16.698122,16,3.138826
-11.42428,16,3.187611
-31.085213,15,3.22964
-37.80511,10,3.247721
-5.353777,13,3.275366
-56.631517,15,3.30785
-58.206927,19,3.357419
-30.845591,9,3.375131
-45.66284,13,3.413975
-6.665911,16,3.4453
-29.445789,11,3.46792
-10.201299,16,3.496741
-31.429086,16,3.526819
-34.645282,10,3.557693
-49.608972,13,3.602103
-22.961572,15,3.62888
-19.172847,14,3.655761
-46.950074,19,3.707949
-29.850465,11,3.743031
-34.681471,15,3.771994
-51.836048,15,3.801217
-25.096865,16,3.828888
-41.288188,12,3.86403
-9.174283,19,3.921953
-37.370986,16,3.952852
-36.987914,11,3.974959
-4.813959,14,4.010124
-40.48077,12,4.031769
-26.371253,10,4.077976
-7.005254,19,4.114483
6.083375,20,4.161592
-47.107101,13,4.209926
-38.303317,12,4.231612
-26.19271,13,4.257982
-35.813811,11,4.28028
-37.626851,13,4.306509
-24.353916,19,4.347124
-20.899617,15,4.373235
-20.311754,13,4.420965
-48.691663,12,4.446187
-29.619705,15,4.474865
-36.83912,13,4.499166
-27.347036,16,4.529276
-21.855555,10,4.558806
-49.115923,14,4.604608
-0.499772,16,4.632531
-31.851662,13,4.659044
-18.48516,13,4.684513
-42.349782,10,4.70462
-1.75406,18,4.735854
-37.016713,14,4.763458
-20.65048,14,4.794625
-13.898227,18,4.852189
-9.087698,17,4.889696
-12.697828,11,4.915104
-6.389936,20,4.953573
-13.916515,13,4.98706
-28.04931,12,5.009568
-39.347449,13,5.061059
-36.745307,12,5.090719
-24.377241,10,5.1099
-12.157196,13,5.139144
-17.324212,15,5.188717
-27.082386,10,5.207337
-33.296592,12,5.237606
-20.411611,15,6.116966
-29.326981,11,6.139463
-2.451231,18,6.176054
-27.654284,14,6.208349
-19.64991,20,6.261746
-11.939426,19,6.313259
-31.038387,15,6.345501
-16.445935,11,6.383801
-23.128972,15,6.428412
-42.90934,9,6.446946
-23.541065,19,6.485366
-27.466217,18,6.521976
-46.343999,15,6.560244
-35.021799,10,6.599869
-35.090448,11,6.620579
-23.09806,13,6.650861
-24.984746,13,6.68584
-27.054335,14,6.73384
-26.682963,12,6.756662
-40.133472,12,6.782098
-31.796923,11,6.812713
-21.179381,19,6.877795
-11.050935,19,6.920774
-36.315901,9,6.940582
-33.596462,11,6.960537
-8.160337,14,7.003245
-6.421815,20,7.051364
-23.374431,17,7.08443
4.813181,15,7.115963
-15.278434,12,7.161032
-32.150677,15,7.18845
-43.205832,18,7.237042
-4.01477,16,7.268531
-17.575362,12,7.303764
-15.888017,13,7.34461
2.990529,17,7.391956
-23.441569,11,7.412185
-27.986001,17,7.471598
-3.899476,16,7.504666
-22.566505,11,7.532701
-19.105844,20,7.593665
-24.002466,12,7.618602
-10.584553,13,7.641114
-8.327099,17,7.673151
-6.081862,13,7.702172
-30.891514,12,7.755031
-20.671369,12,7.777381
-37.416808,10,7.799378
-45.947956,13,7.826156
-38.773856,14,7.853355
-30.449734,10,7.872119
-27.277433,11,7.923185
-48.148403,18,7.960226
-34.237941,15,7.989585
-34.377351,13,8.013172
-40.777976,10,8.033213
-27.65524,16,8.090874
-19.276533,12,8.118756
-42.985702,12,8.140522
-49.428573,16,8.172444
-23.394439,14,8.224444
-31.55836,13,8.25505
-30.55406,13,8.279818
-35.001797,14,8.304644
-18.804102,12,8.328723
-28.517406,14,8.355556
-29.566162,16,8.393297
-32.607563,9,8.410688
-32.971532,13,8.453939
-34.933694,10,8.471983
-47.45618,12,8.502206
-37.483689,8,8.518823
-35.341336,10,8.536958
-38.689755,12,8.571965
-8.753587,16,8.617576
-36.016178,11,8.638365
-46.711949,15,8.668282
-31.762175,11,8.69278
-13.832155,11,8.713825
-31.809315,11,8.748452
-23.670369,17,8.796752
-45.8601,11,8.819852
-32.826884,14,8.844327
-2.000968,18,8.879347
-12.852506,13,8.904703
-31.341923,16,8.935187
-14.475117,14,8.968192
-41.211764,19,9.026469
-26.964236,18,9.063684
-28.324293,11,9.08937
-39.108156,11,9.109281
-33.884703,9,9.155621
-23.340803,11,9.175283
-37.691841,13,9.201149
-44.621613,10,9.220791
-28.17037,14,9.24696
-55.158651,13,9.27287
-55.989436,17,9.332433
1.917192,17,9.370046
-26.955962,15,9.399165
-37.501527,17,9.430989
-36.508164,11,9.457999
-19.011193,17,9.51745
-25.558214,15,9.544157
-23.9493,14,9.573364
-32.806891,13,9.60069
-15.521647,21,9.646237
-45.078732,15,9.696016
-37.43067,10,9.724657
-30.178894,14,9.751064
-33.509418,18,9.784419
-23.238429,16,9.816428
-30.889517,13,9.842552
-27.853859,15,9.871765
-18.792427,15,9.917549
-29.576636,11,9.937461
3.194038,16,9.98365
-26.932284,16,10.013675
-8.427749,16,10.044321
-47.99825,15,10.072724
-24.253682,21,10.124156
-48.299099,16,10.172807
-40.848265,11,10.193572
-27.932802,18,10.225193
-5.639325,13,10.254599
-35.376547,17,10.295062
-17.527285,11,10.33592
-24.165843,11,10.359268
-42.564392,19,10.394696
-19.767508,18,10.441582
-36.435098,14,10.486019
-32.814117,14,10.516593
0.700435,16,10.549187
-25.68922,16,10.585366
-28.291495,15,10.633682
-16.10278,13,10.65751
-35.54968,13,10.691451
-17.810955,18,10.726501
-46.399852,14,10.755068
-10.284629,15,10.806763
-25.937242,19,10.851794
-28.274929,15,10.908379
-45.040298,13,11.780995
-31.122603,16,11.820515
-26.265342,12,11.849784
-10.965741,18,11.886968
-41.660291,13,11.91316
-6.557699,16,11.948108
-47.098922,19,12.014946
-30.68673,12,12.037672
-27.903989,12,12.067632
-3.954285,15,12.099337
-47.031209,12,12.125994
-39.67966,11,12.146658
2.266696,18,12.199828
-21.756017,20,12.246249
-30.741853,13,12.272906
-28.165767,11,12.297135
-26.744861,10,12.315925
-24.026208,14,12.366221
-24.897942,12,12.398508
-24.839358,13,12.42437
-15.730745,18,12.468864
-22.838922,12,12.490946
-28.800749,11,12.525065
-18.676832,20,12.577592
-42.076621,12,12.604812
-32.093246,9,12.621512
-24.505085,13,12.647962
-1.261528,15,12.688263
-50.111872,17,12.739443
-23.671097,13,12.766168
-35.088486,14,12.791491
-27.81155,12,12.82476
-12.599901,14,12.874575
-27.680512,12,12.899166
-48.61261,18,12.934345
-36.785677,13,12.95809
-34.623174,10,12.981503
-26.724345,11,13.028734
0.188761,20,13.069822
-45.502054,15,13.130872
-46.391287,12,13.154256
-33.738282,15,13.190264
-2.126285,17,13.224432
-35.931598,12,13.247438
-0.802454,16,13.296724
-32.277989,11,13.316844
-39.079708,15,13.359852
3.489939,15,13.390322
-51.070488,14,13.418819
-4.822703,15,13.455443
-28.718927,16,13.510311
-33.339909,19,13.552789
-34.017304,11,13.573023
-7.868887,15,13.602777
-47.027982,15,13.633367
-37.839304,11,13.673842
-35.622782,12,13.697224
-13.905546,14,13.73521
-5.697005,17,13.767838
-38.257941,13,13.794507
-34.680809,7,13.807244
-17.206939,17,13.85276
5.035614,18,13.905895
-45.560997,13,13.931648
