#{"t_start": 1700864019.6930764, "env_id": "QuadrotorPlusHoverEnv-v0"}
r,l,t
-45.826067,11,0.477945
-24.742621,16,0.509514
-19.084786,12,0.53501
-38.323616,13,0.570014
-25.047798,15,0.619236
-24.744615,14,0.643704
-27.794678,12,0.669399
-12.206614,13,0.700938
-13.447576,15,0.753532
-33.994523,12,0.776054
-21.973028,16,0.809421
-43.176465,11,0.832925
-16.032561,14,0.859191
-9.262376,15,0.887041
-50.944913,11,0.909599
-18.478716,15,0.940227
-35.079732,13,0.991292
-35.484108,9,1.007413
-19.185641,10,1.034878
-18.016265,18,1.068714
-24.978373,14,1.09484
-27.584105,19,1.137485
-2.94938,15,1.184701
-24.190504,18,1.224586
-38.111107,17,1.259551
-47.978744,13,1.283723
-5.600851,14,1.321422
-48.786403,11,1.362138
-34.174673,15,1.391834
-37.398893,10,1.411283
-55.591441,18,1.453496
-40.960977,12,1.500281
-23.837601,14,1.53005
-23.447861,17,1.562294
-34.005887,11,1.583099
-27.180436,17,1.617133
-39.113423,8,1.659683
5.996413,13,1.683334
-4.027219,20,1.724386
-35.79166,16,1.75489
-32.873074,16,1.786123
-39.18498,15,1.848148
-49.580323,10,1.86916
-28.436607,11,1.889058
-26.678323,10,1.908473
-35.244987,16,1.93959
-27.523111,11,1.991844
-38.953845,19,2.0306
-15.223508,20,2.067901
-18.192184,16,2.098174
-35.866797,13,2.120934
-50.98495,14,2.147833
-18.439833,17,2.181872
-44.043032,15,2.208977
-29.138858,12,2.25246
-46.10442,13,2.275934
-46.641263,11,2.309687
-30.457131,12,2.333733
-16.433515,16,2.370669
-35.251405,11,2.390632
-23.090301,17,2.436322
-24.511043,12,2.470002
-20.583113,12,2.497426
-36.857736,13,2.522316
-35.273792,11,2.546252
17.376135,20,2.598182
-47.21665,13,2.640181
-8.195155,15,2.670548
-36.2424,12,2.69179
-35.757492,12,2.715287
-1.472648,13,2.739751
-35.297437,13,2.765187
-33.002844,17,2.805504
-0.654749,14,2.854205
-55.597686,21,2.894879
-34.194964,10,2.928525
-8.866959,16,2.975742
-27.07908,14,3.017227
18.840229,14,3.041696
-29.518887,15,3.092211
-24.754814,13,3.117377
-26.183803,16,3.147756
-21.926654,11,3.169584
-19.77389,11,3.189838
-20.586355,14,3.21745
-17.44982,12,3.246137
-34.207032,9,3.284901
-18.826449,15,3.31824
-24.684453,13,3.350098
-26.410363,14,3.380881
-21.381574,16,3.408756
-38.305829,14,3.45857
-13.773005,16,3.489544
-43.825388,17,3.521778
-20.909448,11,3.542909
-15.982903,13,3.567008
-13.555293,21,3.620692
-14.071271,11,3.640671
-46.008951,13,3.681351
-39.625235,17,3.715169
-11.623047,24,3.768955
-28.701233,12,3.814968
-20.172558,18,3.849625
-5.224978,16,3.886841
-47.453294,11,3.906866
