#{"t_start": 1700864018.9072733, "env_id": "QuadrotorPlusHoverEnv-v0"}
r,l,t
-51.985801,13,0.473683
-19.272864,12,0.514165
-36.036995,13,0.543657
-19.505601,13,0.57221
-30.468497,14,0.60003
-16.320647,19,0.665689
-32.570267,11,0.68734
-40.2406,13,0.714961
-12.313794,15,0.744391
-30.417897,25,0.820493
-37.260621,16,0.855568
2.318125,26,0.923189
-25.675077,20,0.978774
-18.898858,18,1.015218
-50.110445,18,1.057251
-35.80474,11,1.08985
-26.432058,13,1.113986
-26.430833,12,1.149125
-20.351995,15,1.1808
-1.047737,15,1.221744
-35.580378,9,1.2384
-32.94259,14,1.282907
-29.715601,18,1.317833
-34.285025,21,1.35784
-47.740735,11,1.388689
-40.369645,15,1.438329
-12.658346,13,1.462164
-9.362186,17,1.495734
-35.623893,12,1.52076
-48.443734,11,1.545221
-68.974054,17,1.577233
-24.87806,15,1.604038
-9.186044,17,1.663373
-30.396833,14,1.695162
-52.380263,17,1.727616
-17.225358,12,1.753017
-12.543242,18,1.810752
-28.184265,17,1.850984
-25.910772,11,1.870695
-28.630861,17,1.911736
-43.056949,17,1.96112
-10.876789,19,2.001537
-25.877725,13,2.026651
-24.662631,16,2.069453
-20.605988,13,2.114449
-31.797491,10,2.132691
-36.917578,11,2.15516
-37.380454,8,2.1702
-49.522512,16,2.209909
-43.656136,10,2.252641
-44.060133,13,2.277314
-39.813345,14,2.302952
-33.955212,12,2.328855
-28.396099,13,2.356876
-35.351524,17,2.416574
-15.141475,13,2.439983
-37.404204,14,2.471587
-49.857848,18,2.531637
-5.702038,13,2.560847
-24.665253,14,2.588013
-13.744009,13,2.644227
-49.889619,18,2.679497
-26.828529,19,2.716435
-47.333579,18,2.749309
-28.691202,17,2.812334
-36.036459,12,2.834045
-22.86137,11,2.859292
-43.398196,15,2.887661
-32.218213,14,2.938746
-38.448597,15,2.965615
-8.593667,21,3.014997
-21.814379,14,3.041256
-48.415614,14,3.088152
-24.835678,16,3.130392
-43.574803,15,3.161188
-41.840429,10,3.180468
-49.696146,16,3.216674
-20.239886,13,3.255491
-44.208449,23,3.311824
-9.860732,15,3.341542
-17.716502,17,3.374799
-13.315283,19,3.42256
-24.785321,23,3.482844
-21.034699,14,3.509696
-12.154288,15,3.54825
-28.02932,15,3.598427
-18.713537,14,3.625872
-18.116628,13,3.650098
-32.660847,10,3.685213
-27.480859,16,3.731963
-40.541222,15,3.761588
-29.137535,19,3.801626
-22.683538,12,3.831657
-53.719756,17,3.861905
-31.910879,17,3.917933
-34.641114,9,3.937347
-24.802542,18,3.975642
-25.71362,16,4.031947
-34.382271,13,4.058127
-39.458916,14,4.083963
-2.774243,14,4.111974
-2.234674,19,4.154956
-19.756449,15,4.208693
-22.562711,14,4.23581
-20.856766,15,4.266114
-40.003917,11,4.286167
-37.610068,15,4.320919
-56.813336,14,4.37201
-46.746504,16,4.404623
-36.784111,10,4.422565
-21.066386,16,4.464248
-21.655187,15,4.511187
-35.499877,12,4.535858
-15.225551,18,4.578802
-26.840759,11,4.622759
-20.313135,13,4.645584
-26.179074,19,4.683596
-26.569357,12,4.706443
-14.846983,17,4.741151
-2.463203,15,4.797309
-12.065779,19,4.832567
-30.090467,16,4.872204
-13.631794,12,4.895171
-41.301949,9,4.920216
-30.800117,12,4.945187
-36.521928,21,5.009073
-4.102556,21,5.054935
5.270418,23,5.100357
-59.610494,15,5.129351
-50.334796,16,5.169156
-41.967889,15,5.216586
-40.075421,14,5.25126
-34.998121,16,5.282342
-41.704904,13,6.254889
-7.898481,15,6.286708
-32.522574,12,6.309105
-8.211833,19,6.359955
-33.396399,17,6.392024
-22.960319,21,6.453063
-4.741094,15,6.49198
-45.156723,14,6.517834
-32.376999,12,6.56263
-20.302769,16,6.595755
-40.866986,11,6.61825
-13.400549,16,6.657473
-49.935558,15,6.686157
-36.130109,17,6.742297
-48.101515,17,6.780434
-23.351363,14,6.813087
-20.409782,15,6.843972
-14.515462,13,6.886252
-39.448481,9,6.902707
-44.293016,15,6.938421
-3.308734,13,6.965505
-3.724253,14,6.996817
-16.300989,19,7.049478
-25.605415,15,7.093062
-19.848239,14,7.118672
-27.4742,11,7.143459
-38.606961,13,7.184177
-35.744066,11,7.204327
-21.522612,18,7.253459
-11.096461,15,7.292627
-12.946939,13,7.324583
-38.338343,16,7.37862
-39.823393,13,7.404322
-37.574166,9,7.420637
-27.616597,12,7.443971
-42.493455,14,7.475677
-51.048566,13,7.4996
-7.611894,14,7.552066
-40.063541,10,7.571481
-23.94288,14,7.597024
-10.357368,17,7.629815
-53.235496,11,7.654951
-1.724106,19,7.691783
-46.928208,10,7.739107
-27.007895,14,7.77117
-22.741982,12,7.792586
-19.700766,18,7.827741
-37.295418,9,7.846546
-18.665189,12,7.868487
-14.794339,21,7.93855
-8.180802,13,7.962538
