#{"t_start": 1700864018.2329156, "env_id": "QuadrotorPlusHoverEnv-v0"}
r,l,t
-16.700385,10,9.504116
-30.494961,19,9.547207
-15.60345,15,9.598446
-31.802398,13,9.626407
-29.556167,12,9.649039
-35.177132,12,9.670793
-42.416844,14,9.697476
-39.249242,13,9.721552
-23.847948,15,9.750515
-16.9865,18,9.783668
3.558485,16,9.815236
-8.789289,16,9.875933
-35.671536,13,9.899246
-28.641302,11,9.924613
11.816507,16,9.956682
-44.090611,16,9.993299
-35.703904,9,10.010189
-26.171181,14,10.05501
-32.811693,10,10.083436
-18.830148,14,10.10895
-13.100431,17,10.144194
-32.111437,10,10.17089
-39.982762,11,10.214605
2.636323,13,10.239048
-38.081953,10,10.267344
-22.675263,14,10.295014
-19.505219,12,10.319093
-31.217328,15,10.34684
-10.963942,16,10.37649
-25.019084,12,10.419872
-31.977005,11,10.454528
-18.173835,15,10.481583
-35.931389,11,10.507521
2.254144,14,10.550319
-43.433241,13,10.591151
-29.338354,10,10.609921
-26.403191,14,10.636503
-23.376078,13,10.674789
-18.083734,14,10.699735
-9.14593,13,10.742614
-32.064096,10,10.761686
-22.556334,11,10.781295
-17.004809,12,10.804036
-29.728114,12,10.839947
-12.263851,17,10.891996
-31.021547,13,10.91566
-1.405745,14,10.945276
-41.871684,15,10.983398
-25.572983,13,11.837593
-46.381095,14,11.867752
-23.110331,13,11.893889
-29.948526,12,11.918013
-28.364818,22,11.980695
-51.670283,21,12.047095
-9.764204,15,12.079513
-42.511004,9,12.098329
-23.2535,16,12.132269
-28.542919,17,12.179176
-28.169453,14,12.210775
1.083193,16,12.24349
-16.849022,17,12.279392
-34.895222,17,12.314873
-38.821907,19,12.359862
-46.519378,19,12.403248
-53.582746,20,12.459226
-40.904075,17,12.50487
-26.322914,14,12.532227
-29.807578,11,12.561894
-9.837588,14,12.593722
-15.667875,13,12.625827
-21.810036,12,12.648842
-12.571556,16,12.683825
-28.471821,16,12.733993
-32.558205,13,12.767217
-52.390718,16,12.797772
-2.801566,14,12.825786
-40.277207,12,12.851558
-23.871535,12,12.875165
-26.957215,15,12.924786
-43.881507,9,12.95106
-14.247033,14,12.978601
-24.200438,18,13.012416
-24.149677,16,13.065512
-41.605779,13,13.104162
-21.340924,17,13.142294
-19.553254,14,13.171707
-36.78001,14,13.209733
-20.828434,16,13.258873
-39.08236,12,13.2805
-32.374905,16,13.311233
-29.071122,21,13.351486
-23.278308,10,13.381425
-26.114446,13,13.427953
-33.572863,13,13.451364
-10.924372,13,13.479513
-45.696311,11,13.502242
-32.596715,13,13.531525
-5.947615,16,13.561015
-23.447241,15,13.617033
-33.276765,13,13.643837
