#{"t_start": 1700864018.9810667, "env_id": "QuadrotorPlusHoverEnv-v0"}
r,l,t
-45.228347,12,0.457408
-35.982777,10,0.50022
-29.997624,12,0.523315
-45.008541,13,0.55038
-21.306072,11,0.5747
-43.328653,16,0.6156
-38.11254,12,0.660326
-25.539036,19,0.698798
-27.115602,13,0.722668
-44.82938,16,0.771785
-3.825225,16,0.816113
-29.342634,13,0.845473
-4.038116,13,0.872264
-21.045399,15,0.915476
-35.679281,12,0.937079
-51.47897,12,0.979689
-38.769147,9,1.000776
-45.865069,14,1.026883
-27.691859,13,1.052993
-5.183296,15,1.096851
-30.949155,11,1.132178
-23.087317,15,1.162294
-36.950484,10,1.181156
-37.308822,11,1.205265
-37.209913,13,1.228943
-33.127801,16,1.269214
-19.667038,16,1.319336
-29.418198,11,1.342292
-31.616024,14,1.370259
-15.163707,12,1.392264
-11.172973,13,1.416319
-35.950647,15,1.446397
-24.008614,19,1.485485
0.98622,13,1.53837
-43.804078,18,1.577344
-42.007779,10,1.595107
-38.051065,14,1.623889
-25.305254,12,1.672726
-6.983275,13,1.705166
-14.238822,20,1.743258
0.352392,16,1.781652
-17.836246,19,1.833252
-32.728441,15,1.861162
-27.707429,14,1.89343
-23.68713,12,1.916891
-39.042188,10,1.948895
-37.764283,16,1.979448
-39.867098,17,2.031328
-34.935184,11,2.054118
-50.872499,17,2.086531
-35.725255,8,2.101578
-47.320578,14,2.128685
-51.758415,11,2.15079
-33.677238,11,2.179727
-2.328538,14,2.20567
-24.157833,16,2.261348
-12.673,16,2.294915
-36.236645,14,2.321517
-11.39502,14,2.348387
-38.532453,18,2.381886
5.059032,18,2.41528
-18.851654,15,2.474526
-24.687477,12,2.496238
-45.718648,23,2.541428
-35.487762,18,2.577534
-40.451614,16,2.636521
-13.793578,14,2.662626
-38.315863,13,2.687447
-1.068965,15,2.718086
-13.69787,23,2.762153
-25.366422,17,2.819522
-35.555895,15,2.854237
-25.553185,14,2.881273
-17.476959,14,2.927981
-5.647568,13,2.952085
-33.905932,13,2.987946
-13.160177,15,3.017765
-30.862536,16,3.055098
-44.094107,12,3.078648
-21.113466,13,3.116154
-58.194921,15,3.156157
-19.641856,14,3.186529
-30.891326,21,3.23039
-29.083627,16,3.273639
-38.789061,17,3.322904
-5.900298,12,3.345863
-31.641124,18,3.379357
-2.837823,13,3.402998
-13.932526,18,3.448836
-1.515431,16,3.499874
-30.842119,11,3.522134
-39.391349,12,3.544706
-45.653544,13,3.58523
-19.166651,13,3.624862
-31.31497,14,3.652861
-24.086083,14,3.678841
-43.539543,20,3.717151
-31.088355,16,3.749209
-27.668646,15,3.777205
-22.676669,11,3.806074
-20.599663,16,3.859807
-46.94339,11,3.881685
-15.14226,16,3.911136
-24.273212,14,3.944257
-35.127339,13,3.974237
-0.078623,15,4.021848
-27.127282,14,4.053787
-35.273627,11,4.074446
-17.931683,16,4.110286
-38.421653,17,4.144032
1.716857,21,4.206955
-13.46329,16,4.238088
-35.962927,14,4.27
-14.909271,14,4.321249
-39.319177,13,4.34498
-43.749718,14,4.375209
-11.759487,17,4.407094
-8.025126,15,4.446255
-32.832849,11,4.48874
-26.535611,17,4.521671
-30.85611,10,4.540672
-18.964623,17,4.579898
-16.390841,15,4.634117
-49.376092,15,4.662983
6.539429,15,4.69137
-41.268799,16,4.719211
-44.574628,14,4.744698
-14.931447,11,4.765917
-21.73851,18,4.806724
-55.137603,14,4.835459
-36.981986,11,4.856359
-11.401707,11,4.885458
-23.595695,10,4.908052
-32.338333,13,4.932686
-39.180339,14,4.981124
-9.466187,17,5.021125
-1.330893,18,5.059362
-36.717374,9,5.099352
-1.743799,16,5.139106
-21.919473,12,6.022736
-48.922026,16,6.060325
-16.005543,16,6.090959
-14.528393,17,6.139718
-41.689627,14,6.167197
-4.010342,15,6.208722
-35.147922,11,6.248672
-18.245325,14,6.279101
-41.567114,12,6.301958
-15.436893,15,6.333636
-12.485711,17,6.37586
-40.480551,14,6.42231
-44.364338,14,6.455043
-30.841756,10,6.475548
-30.407471,18,6.51092
-10.167985,18,6.553148
-25.893707,13,6.577982
-5.541362,16,6.631654
-12.44186,15,6.662746
-36.768635,13,6.702406
-39.334563,15,6.747925
-22.223572,13,6.779927
-18.489815,16,6.814808
-23.621722,12,6.836143
-25.739137,18,6.874853
-12.375424,15,6.91877
-24.76846,11,6.950148
-17.207186,16,6.988147
-26.699013,13,7.012124
-45.975829,17,7.043928
-41.800152,16,7.094151
-28.842852,16,7.139466
-27.085216,9,7.174021
-13.728913,13,7.198044
-32.068241,8,7.230657
-33.726319,16,7.26857
-0.984526,16,7.308213
-19.877445,13,7.332332
-30.023127,15,7.384812
-34.827944,14,7.41292
-42.62383,10,7.432687
-40.556926,16,7.462212
-24.288086,15,7.489155
2.545212,18,7.528928
-41.478836,9,7.575242
-57.36515,20,7.614145
-33.419871,14,7.642544
-31.768997,14,7.696859
-24.218347,13,7.725186
-40.608769,9,7.745393
-21.361752,15,7.77382
-40.282024,12,7.826917
-40.242954,14,7.852262
-29.095233,12,7.879138
-17.725363,15,7.908183
-41.995457,10,7.926957
-51.905313,12,7.949902
-61.975249,22,7.989937
-33.578076,14,8.046346
-16.429698,15,8.080436
-34.342383,13,8.104579
-22.389248,12,8.126781
-21.533671,15,8.154964
-43.385089,16,8.194007
-38.876625,15,8.240414
-10.976361,14,8.273648
11.122169,18,8.308748
-25.53659,13,8.333601
-28.895166,13,8.356693
-28.731705,15,8.40091
-44.054964,15,8.442319
-49.757957,13,8.469578
0.978567,15,8.500719
13.507311,20,8.550529
-38.777069,15,8.598094
-37.66851,14,8.627675
-27.006201,11,8.648355
-10.712738,18,8.682284
-36.146311,8,8.707933
-37.622102,19,8.765137
-9.810214,14,8.789759
-43.50585,11,8.814155
-30.093836,15,8.842257
-40.972468,10,8.868461
-44.344054,19,8.929816
-47.265309,12,8.951279
-31.83898,13,8.976613
-23.299174,16,9.007496
-36.550909,18,9.043286
-2.091255,17,9.106043
-13.340817,12,9.131656
-34.752793,9,9.148891
-37.086522,13,9.174066
-32.486335,17,9.214095
-26.156642,16,9.262791
-16.799053,15,9.29978
-39.018239,11,9.320308
-29.601532,13,9.353372
-52.589674,16,9.409996
-20.432572,13,9.439306
-25.305353,13,9.463298
-13.473532,13,9.491415
-26.795182,16,9.524226
-41.671801,16,9.577154
-24.283614,12,9.609649
-38.920656,14,9.635759
-27.556426,15,9.667867
-46.217276,13,9.710866
-11.649814,19,9.759848
-13.348397,16,9.793414
-32.493116,12,9.816615
-18.272478,21,9.8726
-35.273403,11,9.910495
-42.518126,19,9.947684
-39.942342,12,9.970146
-45.806752,15,9.998977
-2.797708,16,10.042989
-31.880916,18,10.09542
-14.341096,20,10.135833
-42.754213,10,10.164212
-40.268434,13,10.211949
-10.471297,21,10.263109
-22.837071,17,10.297307
-31.55527,7,10.30991
-36.707823,16,10.357214
-29.473326,14,10.390353
-47.038587,14,10.417897
-27.781905,13,10.441525
-22.117223,19,10.478775
-43.17181,15,10.509764
-32.966798,13,10.537505
-26.219173,13,10.562898
-7.695596,20,10.625209
-11.697242,13,10.659076
-26.261275,15,10.715258
-35.277322,14,10.742311
-0.400306,12,10.770664
-41.801003,13,10.798091
13.212072,18,10.834876
-27.073213,13,11.815001
-37.714774,13,11.840544
-28.313482,16,11.894741
-10.124683,13,11.91889
-46.86729,17,11.956433
-39.505034,10,11.978818
-35.98993,14,12.009427
-5.575534,19,12.067283
-28.964932,12,12.088674
-40.978181,13,12.122571
-8.417209,17,12.156988
-28.736879,17,12.191406
-30.853301,19,12.248627
-27.521112,15,12.287559
-35.152753,12,12.313657
-18.821236,15,12.350249
-39.57175,19,12.399386
-32.283849,10,12.418064
-11.002634,16,12.465571
-43.45766,14,12.494846
-51.954712,14,12.521747
2.478676,18,12.567291
-36.019034,16,12.617812
-13.88498,12,12.64155
-17.907862,16,12.670851
-29.684134,14,12.69792
-11.364038,15,12.735419
-34.5796,12,12.784216
-12.542462,15,12.814343
-44.407274,10,12.832878
-24.311866,16,12.864876
-22.603771,18,12.902409
-32.236368,12,12.954475
-58.725048,17,12.995635
-45.849945,13,13.021781
8.107083,16,13.080007
-27.681526,15,13.113345
4.354467,18,13.167802
-31.373462,15,13.196187
-10.098388,13,13.238738
-32.933732,12,13.262673
-22.385372,19,13.298641
-22.111869,20,13.345581
-27.340739,12,13.369514
-19.68558,15,13.420911
-5.548329,18,13.463905
-39.719374,12,13.486016
-18.461143,16,13.517405
-11.879061,15,13.547396
-36.332843,13,13.590222
-29.005545,15,13.633205
-19.017442,18,13.667305
-51.761535,18,13.702
-45.179201,14,13.728261
-31.423889,10,13.750082
-23.314892,20,13.787601
-42.178616,21,13.826291
-14.626517,17,13.857557
-45.816725,15,13.896091
-22.673903,19,13.933259
-41.930536,17,13.985511
-15.611491,14,14.017227
-33.903801,13,14.044692
-36.558304,17,14.080389
-5.003274,14,14.127759
-24.652217,14,14.154016
-21.584921,14,14.189803
-10.405587,15,14.220724
-32.18398,11,14.264946
-50.110754,13,14.288349
-28.032732,18,14.329952
-32.155027,17,14.3642
-26.554706,17,14.417346
-33.156299,14,14.455167
-27.77979,14,14.484836
-32.671452,15,14.516076
-29.127736,12,14.537968
-32.298324,15,14.58388
-21.763418,19,14.634937
0.072768,15,14.663036
-9.200959,20,14.701563
-18.695835,21,14.76025
-24.02541,15,14.801144
-40.297069,17,14.834289
-18.240962,13,14.883862
-27.316369,13,14.915051
-19.463127,13,14.939559
-43.492996,14,14.965884
-44.363201,12,14.992225
-37.164712,19,15.055616
-31.196796,12,15.083358
-2.835766,15,15.113793
-39.793317,15,15.142365
-22.512941,13,15.166482
-7.318862,16,15.223026
-33.031267,16,15.258105
6.036169,16,15.289253
1.586215,15,15.320524
-29.211987,14,15.371157
-17.969958,12,15.393073
-28.725976,17,15.434243
-28.624471,11,15.463848
-44.952408,11,15.499895
-20.726294,14,15.525647
-32.309591,14,15.560165
-30.007878,12,15.587329
-18.047281,24,15.635533
-26.589915,14,15.678845
-38.101044,15,15.7185
-28.077974,14,15.749101
-46.692264,20,15.793682
-23.184039,11,15.813989
3.322262,20,15.882539
-2.521361,23,15.926621
-42.357462,14,15.952438
-24.542091,13,15.974979
-4.225842,18,16.008118
-40.832836,13,16.033771
-38.187038,12,16.083091
-22.864722,12,16.105668
-40.270764,18,16.148044
-36.49838,14,16.174123
-25.408065,15,16.203752
-15.443965,14,16.233417
-30.749761,13,16.284584
-28.71521,18,16.326785
-29.442837,15,16.357252
-33.770983,11,16.377513
-26.472783,21,16.417414
-27.276584,11,16.438127
-36.027781,13,16.470047
-21.878322,18,16.52167
-38.705514,17,17.451272
-29.483675,11,17.483516
-32.627123,12,17.53195
-33.744139,10,17.55102
-33.251029,12,17.591851
-16.212638,14,17.620769
-33.552117,11,17.641324
-43.788405,13,17.669333
-13.040285,17,17.713442
-12.00346,21,17.771832
-50.439324,14,17.801882
-15.835736,13,17.832909
-33.120381,11,17.853717
-11.549213,16,17.889272
-16.587455,16,17.938288
-27.683424,14,17.973422
-7.903591,17,18.010048
-29.630707,12,18.034848
-18.280103,16,18.088593
-44.11668,12,18.110553
-66.200299,18,18.150947
0.194161,23,18.195383
-18.220338,20,18.258865
-36.299343,13,18.289721
-33.073015,16,18.321438
-31.262027,9,18.338114
-30.149671,9,18.354744
-6.936258,13,18.378042
-32.903816,13,18.403876
-25.899883,13,18.453713
-48.707455,22,18.501332
-31.325854,10,18.524428
-35.271163,8,18.53873
-47.61003,12,18.569283
-10.088916,15,18.612485
-44.327922,14,18.640944
-32.249103,11,18.674517
-16.521306,13,18.706695
-36.821213,10,18.725436
-38.767029,11,18.760676
-27.100225,18,18.80689
-43.840567,18,18.843138
-22.238235,15,18.893325
-14.005485,18,18.935778
-18.842468,14,18.970329
-24.92893,12,18.992327
-37.421038,11,19.01717
-38.031124,25,19.076169
-4.433447,16,19.118765
-63.200735,14,19.169495
-1.720698,18,19.207683
-5.932079,16,19.254626
